zone	region	ID
"Bassin Arachidier"	"Kaolack"	215
"Bassin Arachidier"	"Kaolack"	216
"Bassin Arachidier"	"Kaolack"	217
"Bassin Arachidier"	"Kaolack"	218
"Bassin Arachidier"	"Kaolack"	219
"Bassin Arachidier"	"Kaolack"	220
"Bassin Arachidier"	"Kaolack"	221
"Bassin Arachidier"	"Kaolack"	222
"Bassin Arachidier"	"Kaolack"	223
"Bassin Arachidier"	"Kaolack"	224
"Bassin Arachidier"	"Kaolack"	225
"Bassin Arachidier"	"Kaolack"	226
"Bassin Arachidier"	"Kaolack"	227
"Bassin Arachidier"	"Kaolack"	228
"Bassin Arachidier"	"Kaolack"	229
"Bassin Arachidier"	"Kaolack"	230
"Bassin Arachidier"	"Kaolack"	231
"Bassin Arachidier"	"Kaolack"	232
"Bassin Arachidier"	"Kaolack"	233
"Bassin Arachidier"	"Kaolack"	234
"Bassin Arachidier"	"Kaolack"	235
"Bassin Arachidier"	"Kaolack"	236
"Bassin Arachidier"	"Kaolack"	237
"Bassin Arachidier"	"Kaolack"	238
"Bassin Arachidier"	"Kaolack"	239
"Bassin Arachidier"	"Kaolack"	240
"Bassin Arachidier"	"Kaolack"	241
"Bassin Arachidier"	"Kaolack"	242
"Bassin Arachidier"	"Kaolack"	243
"Bassin Arachidier"	"Kaolack"	244
"Bassin Arachidier"	"Kaolack"	245
"Bassin Arachidier"	"Kaolack"	246
"Bassin Arachidier"	"Kaolack"	247
"Bassin Arachidier"	"Kaolack"	248
"Bassin Arachidier"	"Kaolack"	249
"Bassin Arachidier"	"Kaolack"	250
"Bassin Arachidier"	"Kaolack"	251
"Bassin Arachidier"	"Kaolack"	252
"Bassin Arachidier"	"Kaolack"	253
"Bassin Arachidier"	"Kaolack"	254
"Bassin Arachidier"	"Kaolack"	255
"Bassin Arachidier"	"Kaolack"	256
"Bassin Arachidier"	"Kaolack"	257
"Bassin Arachidier"	"Kaolack"	258
"Bassin Arachidier"	"Kaolack"	259
"Casamance"	"Sedhiou"	260
"Casamance"	"Sedhiou"	261
"Casamance"	"Sedhiou"	262
"Casamance"	"Sedhiou"	263
"Casamance"	"Sedhiou"	264
"Casamance"	"Sedhiou"	265
"Casamance"	"Sedhiou"	266
"Casamance"	"Sedhiou"	267
"Casamance"	"Sedhiou"	268
"Casamance"	"Sedhiou"	269
"Casamance"	"Sedhiou"	270
"Casamance"	"Sedhiou"	271
"Sénégal oriental"	"Tambacounda"	272
"Sénégal oriental"	"Tambacounda"	273
"Sénégal oriental"	"Tambacounda"	274
"Sénégal oriental"	"Tambacounda"	275
"Sénégal oriental"	"Tambacounda"	276
"Sénégal oriental"	"Tambacounda"	277
"Sénégal oriental"	"Tambacounda"	278
"Sénégal oriental"	"Tambacounda"	279
"Sénégal oriental"	"Tambacounda"	280
"Sénégal oriental"	"Tambacounda"	281
"Sénégal oriental"	"Tambacounda"	282
"Sénégal oriental"	"Tambacounda"	283
"Sénégal oriental"	"Tambacounda"	284
"Sénégal oriental"	"Tambacounda"	285
"Sénégal oriental"	"Tambacounda"	286
"Sénégal oriental"	"Tambacounda"	287
"Sénégal oriental"	"Tambacounda"	288
"Sénégal oriental"	"Tambacounda"	289
"Sénégal oriental"	"Tambacounda"	290
"Sénégal oriental"	"Tambacounda"	291
"Sénégal oriental"	"Tambacounda"	292
"Sénégal oriental"	"Tambacounda"	293
"Sénégal oriental"	"Tambacounda"	294
"Sénégal oriental"	"Tambacounda"	295
"Sénégal oriental"	"Tambacounda"	296
"Sénégal oriental"	"Tambacounda"	297
